URL,Size,Number of outlinks,Content Type
https://www.wsj.com/video/browse/news/politics-and-campaign,49328,109,text/html
https://www.wsj.com/public/page/news-wall-street.html,166393,301,text/html
https://www.wsj.com/video/browse/opinion,49030,109,text/html
https://www.wsj.com/articles/robots-head-for-the-fields-1538426976?mod=hp_lead_pos11,1052929,289,text/html
https://www.wsj.com/news/types/letters,640176,266,text/html
https://www.wsj.com/news/author/5472,551111,271,text/html
https://www.wsj.com/articles/theresa-may-facing-hard-deadline-struggles-to-navigate-treacherous-brexit-politics-1538330894?mod=hp_listb_pos4,955844,35,text/html
https://www.wsj.com/news/business/law-legal,636199,280,text/html
https://www.wsj.com/articles/how-much-politics-in-a-supreme-court-justice-1538405660?mod=article_inline&tesla=y,1035993,262,text/html
https://www.wsj.com/video/browse/tech,48606,109,text/html
https://www.wsj.com/articles/south-korean-exports-in-september-show-underlying-strength-1538365492?mod=hp_major_pos12,1033846,262,text/html
https://www.wsj.com/articles/u-s-canada-likely-to-reach-nafta-accord-sunday-announcement-is-imminent-1538360025?mod=hp_major_pos7,1037108,265,text/html
https://www.wsj.com/news/author/5470,557279,270,text/html
https://www.wsj.com/articles/elon-musk-stirs-controversy-on-twitter-in-wake-of-sec-settlement-1538432084?mod=article_inline,1035446,260,text/html
https://www.wsj.com/articles/wearable-health-monitors-do-they-work-1537149961?mod=hp_jr_pos2,1059126,293,text/html
https://www.wsj.com/news/realestate,670632,297,text/html
https://www.wsj.com/news/business/industrial-services,639519,284,text/html
https://www.wsj.com/articles/dunkin-to-drop-donuts-from-brands-name-1537905438?mod=hp_minor_pos3,1033936,262,text/html
https://www.wsj.com/articles/secs-musk-lawsuit-highlights-dangers-of-social-media-disclosures-1538102470?mod=hp_minor_pos9,1056582,267,text/html
https://www.wsj.com/news/author/5356,582084,272,text/html
https://www.wsj.com/news/life-arts/arts,878064,286,text/html
https://www.wsj.com/news/types/bookshelf,641223,266,text/html
https://www.wsj.com/articles/trump-makes-a-deal-1538426266?mod=hp_opin_pos1,1031452,262,text/html
https://www.wsj.com/news/life-arts/ideas,907534,287,text/html
https://www.wsj.com/news/magazine/food,822942,287,text/html
https://www.wsj.com/news/business/consumer-products,627903,272,text/html
https://www.wsj.com/video/browse/business/economy,49527,109,text/html
https://www.wsj.com/articles/picketing-targets-contractor-hiring-at-california-freight-sites-1538431437?mod=hp_minor_pos13,1053435,268,text/html
https://www.wsj.com/articles/ignore-our-numbersplease-1538338010?mod=hp_opin_pos2,1031236,261,text/html
https://www.wsj.com/articles/new-ge-old-problems-1538405385?mod=article_inline&tesla=y,1033745,261,text/html
https://www.wsj.com/news/types/china-news,644324,266,text/html
https://www.wsj.com/news/magazine/art-design,767978,287,text/html
https://www.wsj.com/articles/tesla-shares-bounce-back-after-friday-decline-1538405289?mod=article_inline,1033746,260,text/html
https://www.wsj.com/news/technology,414089,291,text/html
https://www.wsj.com/news/risk-compliance-journal,671924,312,text/html
https://www.wsj.com/articles/a-glut-of-used-hogs-is-a-drag-on-harley-davidson-1538391600?mod=hp_lista_pos1,1031266,258,text/html
https://www.wsj.com/news/business,680682,305,text/html
https://www.wsj.com/articles/iranian-groups-press-for-rightsand-tehran-hits-back-1538386222?mod=article_inline,1032393,258,text/html
https://www.wsj.com/news/markets/wealth-adviser,850362,287,text/html
https://www.wsj.com/articles/pentagon-presses-lockheed-for-lower-priced-f-35-jets-1538432965?mod=hp_major_pos14,1032946,260,text/html
https://www.wsj.com/news/life-arts/automotive,912315,287,text/html
https://www.wsj.com/articles/ge-names-new-ceo-replacing-flannery-1538392715?mod=hp_lead_pos1,1036780,265,text/html
https://www.wsj.com/news/markets/bonds,747121,282,text/html
http://www.wsj.com/public/page/rss_news_and_feeds.html,141825,263,text/html
https://www.wsj.com/news/business/financial-services,641927,284,text/html
https://www.wsj.com/articles/nobel-prize-in-physiology-or-medicine-awarded-to-american-japanese-scientists-for-cancer-work-1538386756?mod=hp_featst_pos2,1039010,263,text/html
https://www.wsj.com/news/types/dance-review,629685,256,text/html
https://www.wsj.com/articles/cancer-coaches-help-guide-patients-during-and-after-treatment-1537149901?mod=article_inline,1055594,289,text/html
https://www.wsj.com/news/politics,446229,292,text/html
https://www.wsj.com/news/business/natural-resources,641040,284,text/html
https://www.wsj.com/articles/u-s-canada-likely-to-reach-nafta-accord-sunday-announcement-is-imminent-1538360025?mod=trending_now_5,1037119,265,text/html
https://www.wsj.com/news/markets/real-estate-commercial,920735,288,text/html
https://www.wsj.com/articles/u-s-pivots-to-china-with-nafta-deal-in-hand-1538431208?mod=hp_major_pos1,1032749,260,text/html
https://www.wsj.com/articles/new-trade-deal-sets-stage-for-contest-with-china-1538405832?mod=hp_major_pos20,1034360,260,text/html
https://www.wsj.com/articles/cleveland-cavaliers-co-owner-buys-l-a-manse-for-26-5-million-1538429225?mod=hp_major_pos22,1035115,261,text/html
https://www.wsj.com/articles/project44-gets-45-million-in-funding-for-freight-tech-expansion-1538386201?mod=hp_minor_pos14,1055145,269,text/html
https://www.wsj.com/news/author/8680,543600,272,text/html
https://www.wsj.com/news/life-arts/fashion,949938,287,text/html
https://www.wsj.com/articles/crude-extends-gains-as-supply-risks-linger-1538388939?mod=hp_lead_pos10,1037007,263,text/html
https://www.wsj.com/news/markets/stocks,830850,287,text/html
https://www.wsj.com/articles/wild-card-berth-is-a-consolation-prize-for-the-chicago-cubs-1538432408?mod=hp_major_pos26,1033524,262,text/html
https://www.wsj.com/news/life-arts/sports,1053116,294,text/html
https://www.wsj.com/news/types/africa-news,643961,266,text/html
http://www.wsj.com/public/page/guides.html,128514,250,text/html
https://www.wsj.com/articles/notre-dame-is-undefeated-and-you-wont-believe-what-happens-next-1538409923?mod=hp_major_pos25,1033455,262,text/html
https://www.wsj.com/news/author/5461,529183,273,text/html
https://www.wsj.com/articles/fcc-moves-to-free-up-more-airwaves-1538422466?mod=hp_listc_pos3,1034834,263,text/html
https://www.wsj.com/podcasts/latest/wsj-your-money-matters,122423,85,text/html
https://www.wsj.com/articles/we-just-ran-scale-of-tsunami-horror-emerges-in-indonesia-1538407343?mod=hp_lead_pos8,955811,36,text/html
https://www.wsj.com/articles/the-qwerty-days-are-almost-over-1538312400?mod=hp_major_pos18,1034508,262,text/html
https://www.wsj.com/news/author/5469,548654,270,text/html
https://www.wsj.com/news/types/art-review,643541,266,text/html
https://www.wsj.com/news/author/5468,570737,272,text/html
https://www.wsj.com/news/collection/far-and-away-09e79c31,651702,61,text/html
https://www.wsj.com/news/world,673824,315,text/html
https://www.wsj.com/articles/with-no-nobel-prize-in-literature-this-year-another-award-steps-in-1538400481?mod=hp_listc_pos1,1034576,260,text/html
https://www.wsj.com/articles/longtime-facebook-executive-mosseri-takes-over-instagram-1538417773?mod=hp_lista_pos4,1032957,261,text/html
https://www.wsj.com/news/types/ahead-of-the-tape,614786,241,text/html
https://www.wsj.com/news/opinion,673908,305,text/html
https://www.wsj.com/news/cmo-today,472948,287,text/html
https://www.wsj.com/articles/imf-chief-lagarde-says-economic-outlook-is-dimming-1538409491?mod=hp_lead_pos9,1032204,260,text/html
https://www.wsj.com/articles/a-brave-new-habitat-1538338066?mod=hp_opin_pos3,1031098,261,text/html
https://www.wsj.com/articles/elon-musk-stirs-controversy-on-twitter-in-wake-of-sec-settlement-1538432084?mod=hp_major_pos16,1035513,260,text/html
https://www.wsj.com/articles/bus-driver-convicted-in-citi-bike-riders-traffic-death-1538432574?mod=hp_major_pos5,1032083,258,text/html
https://www.wsj.com/itp,206995,233,text/html
https://www.wsj.com/news/business/defense-aerospace,641372,284,text/html
https://www.wsj.com/policy/copyright-policy?mod=video,588091,238,text/html
https://www.wsj.com/pro/centralbanking,75949,134,text/html
https://www.wsj.com/newsletters/?mod=wsjfooter,429850,277,text/html
https://www.wsj.com/news/types/exhibition-review,643070,266,text/html
https://www.wsj.com/articles/teacher-at-quaker-school-gets-his-job-back-1538431219?mod=hp_major_pos6,1031874,261,text/html
https://www.wsj.com/articles/u-s-dairy-farmers-score-gains-in-new-trade-deal-1538411888?mod=article_inline&tesla=y,1036810,261,text/html
https://www.wsj.com/articles/wpp-to-merge-young-rubicam-with-its-digital-ad-firm-vml-1537959605?mod=hp_minor_pos2,1032875,260,text/html
https://www.wsj.com/news/types/asia-news,643586,266,text/html
https://www.wsj.com/news/life-arts/travel,937911,287,text/html
http://www.wsj.com/public/page/designtech-licensingPage.html?mod=video,91017,208,text/html
https://www.wsj.com/articles/federal-prosecutors-probe-ad-industrys-media-buying-practices-1538078020?mod=hp_minor_pos1,1035874,263,text/html
https://www.wsj.com/articles/ten-things-to-know-about-the-new-nafta-deal-1538365823?mod=hp_lead_pos2,1034133,261,text/html
https://www.wsj.com/news/business/management,388453,289,text/html
https://www.wsj.com/news/business/transportation,640537,284,text/html
https://www.wsj.com/articles/the-secret-to-retaining-a-new-skill-learn-exercise-sleep-1537149660?mod=article_inline,1053797,289,text/html
https://www.wsj.com/news/cfo-journal,670708,313,text/html
https://www.wsj.com/video/browse/business,48833,109,text/html
https://www.wsj.com/articles/viacom-taps-brian-robbins-to-lead-nickelodeon-1538418623?mod=hp_lista_pos3,1035671,264,text/html
https://www.wsj.com/news/author/8679,564125,270,text/html
https://www.wsj.com/articles/trump-touts-new-trade-pact-with-canada-and-mexico-1538410785?mod=hp_major_pos3,1034805,262,text/html
https://www.wsj.com/articles/musks-sec-deal-seen-as-diminishing-threat-of-criminal-probe-1538435714?mod=hp_lead_pos7,1033601,260,text/html
https://www.wsj.com/articles/u-s-dollar-little-changed-after-nafta-agreement-1538407328?mod=hp_major_pos21,1033055,261,text/html
https://www.wsj.com/articles/new-york-towns-gearing-up-to-fight-irs-ruling-on-local-taxes-1538319601?mod=trending_now_1,1033217,257,text/html
https://www.wsj.com/articles/m-b-a-applications-keep-falling-in-u-s-this-year-hitting-even-elite-schools-1538366461?mod=hp_listc_pos2,1034852,261,text/html
https://www.wsj.com/graphics/nafta-trade-industries/?mod=article_inline,68712,228,text/html
https://www.wsj.com/news/logistics-report,376085,286,text/html
https://www.wsj.com/articles/how-sound-affects-our-health-1537149781?mod=hp_jr_pos3,1055192,291,text/html
https://www.wsj.com/articles/kavanaugh-fight-in-state-of-uncertainty-1538401675?mod=trending_now_2,1037605,264,text/html
https://www.wsj.com/news/life-arts/books,865764,287,text/html
https://www.wsj.com/articles/how-much-politics-in-a-supreme-court-justice-1538405660?mod=hp_major_pos9,1035829,262,text/html
https://www.wsj.com/news/types/opera-review,641740,266,text/html
https://www.wsj.com/articles/qvc-owner-hires-former-j-c-penney-finance-chief-1538167197?mod=hp_minor_pos8,1048898,270,text/html
https://www.wsj.com/news/business/retail-industry,640819,284,text/html
https://www.wsj.com/articles/canada-sheds-jobs-in-august-pushing-jobless-rate-to-6-0-1536327142,1031580,259,text/html
https://www.wsj.com/articles/harley-plans-smaller-motorcycles-to-woo-young-riders-1532957240?mod=article_inline,1033406,261,text/html
https://www.wsj.com/articles/imf-appoints-harvards-gita-gopinath-as-chief-economist-1538409819?mod=hp_major_pos11,1032169,259,text/html
https://www.wsj.com/news/author/8508,573971,270,text/html
https://www.wsj.com/articles/is-robotic-prostate-surgery-better-than-traditional-surgery-1529892180,1054037,288,text/html
https://www.wsj.com/articles/wta-wants-slams-to-drop-penalties-for-on-court-coaching-1538407109?mod=hp_major_pos27,1034217,260,text/html
https://www.wsj.com/news/science,541228,276,text/html
https://www.wsj.com/news/realestate/,670646,298,text/html
https://www.wsj.com/news/author/8214,564830,270,text/html
https://www.wsj.com/articles/apartment-tour-an-ethereal-home-in-rotterdam-1538400543,1063648,265,text/html
https://www.wsj.com/news/types/cultural-commentary,640658,266,text/html
https://www.wsj.com/articles/stocks-get-a-boost-from-nafta-deal-1538379331,1035951,262,text/html
https://www.wsj.com/articles/in-a-caregiving-crunch-the-growing-role-of-immigrants-1538406717?mod=hp_featst_pos1,1033307,261,text/html
https://www.wsj.com/articles/ge-names-new-ceo-replacing-flannery-1538392715?mod=trending_now_3,1036765,264,text/html
https://www.wsj.com/articles/this-is-no-mere-job-interview-1538313919?mod=trending_now_5,1032110,257,text/html
https://www.wsj.com/news/types/today-s-markets,640802,267,text/html
https://www.wsj.com/policy/copyright-policy,588050,237,text/html
https://www.wsj.com/news/magazine,1034128,186,text/html
https://www.wsj.com/amp/articles/stocks-get-a-boost-from-nafta-deal-1538379331,53573,38,text/html
https://www.wsj.com/articles/doctors-face-scrutiny-about-defining-death-1527559740,1052723,288,text/html
https://www.wsj.com/news/magazine/travel,829243,287,text/html
https://www.wsj.com/news/life-arts/food-cooking-drink,964631,287,text/html
https://www.wsj.com/news/types/europe-economy,643941,267,text/html
https://www.wsj.com/news/us/,669757,301,text/html
https://www.wsj.com/news/author/7800,563645,270,text/html
https://www.wsj.com/news/business/health-industry,638702,284,text/html
https://www.wsj.com/video/browse/business/markets,48758,109,text/html
https://www.wsj.com/news/author/7872,696764,272,text/html
https://www.wsj.com/articles/are-hand-tattoos-no-longer-taboo-depends-on-your-job-1538409655,1031956,261,text/html
https://www.wsj.com/articles/kavanaugh-fight-in-state-of-uncertainty-1538401675?mod=hp_lead_pos4,1037520,265,text/html
https://www.wsj.com/articles/is-screen-time-bad-for-childrens-mental-health-1529892060,1055431,290,text/html
https://www.wsj.com/news/types/film-review,641109,266,text/html
https://www.wsj.com/articles/u-s-protectionist-stance-spooks-germanys-economy-1528977600,1033136,257,text/html
https://www.wsj.com/news/economy,672054,306,text/html
https://www.wsj.com/articles/suze-orman-put-yourself-financially-first-1537914691?tesla=y,1033689,259,text/html
https://www.wsj.com/amp/articles/u-s-protectionist-stance-spooks-germanys-economy-1528977600,53904,27,text/html
https://www.wsj.com/video/elon-musk-sued-by-sec-what-happened-and-what-comes-next/AF1C8F8A-73DB-4919-A127-E0877EE22159.html?mod=trending_now_video_4,77134,99,text/html
https://www.wsj.com/articles/canada-says-new-trade-pact-removes-uncertainty-1538415928?mod=hp_major_pos2,1033819,262,text/html
http://www.wsj.com/public/page/designtech-licensingPage.html?mod=podcasts,91032,208,text/html
https://www.wsj.com/articles/is-there-a-limit-to-the-human-lifespan-1529892420,1052997,288,text/html
https://www.wsj.com/news/world/,673900,316,text/html
https://www.wsj.com/news/types/notable-quotable,638951,266,text/html
https://www.wsj.com/articles/french-retailer-carrefour-denies-takeover-talks-with-rival-casino-1537771045,1033847,259,text/html
https://www.wsj.com/articles/trump-touts-new-trade-pact-with-canada-and-mexico-1538410785?mod=article_inline&tesla=y,1034897,262,text/html
https://www.wsj.com/articles/stocks-get-a-boost-from-nafta-deal-1538379331?mod=hp_major_pos19,1036170,263,text/html
https://www.wsj.com/news/economy/,671720,307,text/html
https://www.wsj.com/news/whats-news,651518,272,text/html
https://www.wsj.com/articles/the-new-improved-world-of-infant-care-1537150020,935498,35,text/html
https://www.wsj.com/articles/colorado-mountain-home-inspired-by-walden-asks-29-million-1532359950,1034923,260,text/html
https://www.wsj.com/video/one-senator-attempt-to-rescue-senate-collegiality/65B8F068-ED62-46BE-BC92-BA8DC4084114.html?mod=trending_now_video_3,77298,97,text/html
https://www.wsj.com/news/author/8003,620635,271,text/html
https://www.wsj.com/articles/florida-home-once-among-americas-priciest-heads-to-auction-1538405191?mod=hp_major_pos23,1034325,261,text/html
https://www.wsj.com/podcasts/latest/wsj-opinion-potomac-watch,117828,85,text/html
https://www.wsj.com/articles/the-art-of-curating-review-making-museum-men-1534539457,1032281,257,text/html
https://www.wsj.com/video,73264,98,text/html
https://www.wsj.com/articles/should-states-allow-insurers-to-offer-bare-bones-health-plans-with-fewer-mandated-benefits-1529892240,1054857,288,text/html
https://www.wsj.com/video/the-race-to-replace-your-keyboard/4457A801-A9F7-42E8-A1CC-A3EB04ACE115.html?mod=trending_now_video_1,77286,97,text/html
https://www.wsj.com/articles/airbnb-proposes-giving-hosts-a-stake-in-the-company-1537552948,1033794,261,text/html
https://www.wsj.com/articles/stitch-fix-looks-to-u-k-as-active-client-growth-slows-1538435247?mod=hp_major_pos13,1032425,260,text/html
https://www.wsj.com/news/business/,680721,306,text/html
https://www.wsj.com/news/types/commentary-u-s,638384,266,text/html
https://www.wsj.com/articles/how-sound-affects-our-health-1537149781,1054984,290,text/html
https://www.wsj.com/articles/the-luxury-hotels-americas-wealthy-and-powerful-call-home-1538059496,1033760,260,text/html
https://www.wsj.com/articles/health-care-looks-beyond-medicine-to-social-factors-1537070520,1057333,289,text/html
https://www.wsj.com/news/types/music-review,642842,266,text/html
https://www.wsj.com/articles/a-fight-at-the-opera-casino-battle-on-the-cards-as-crown-fears-losing-sails-1533807049,1033263,259,text/html
https://www.wsj.com/articles/where-denmarks-elite-go-to-modestly-summer-1531924262,953920,33,text/html
https://www.wsj.com/articles/should-the-government-limit-a-physicians-ability-to-treat-patients-with-opioids-1529892300,1054837,288,text/html
https://www.wsj.com/news/types/latin-america-news,642589,266,text/html
https://www.wsj.com/articles/synthetic-materials-can-replace-cartilage-in-your-aching-joints-1537149840,1055781,288,text/html
https://www.wsj.com/articles/dna-testing-offers-new-hope-for-infants-with-genetic-disease-1527559800,1055561,288,text/html
https://www.wsj.com/articles/shopping-for-a-luxury-home-get-a-free-getaway-along-with-it-1533220233,1035788,258,text/html
https://www.wsj.com/articles/teen-hit-be-more-chill-hopes-to-age-well-on-broadway-1538435211?mod=hp_major_pos4,1033891,261,text/html
https://www.wsj.com/amp/articles/pfizer-ceo-read-to-step-aside-at-years-end-1538390220,54182,40,text/html
https://www.wsj.com/articles/ordering-coffee-through-your-car-new-apps-turn-cars-into-smartphones-raising-safety-questions-1537354800,1037392,260,text/html
https://www.wsj.com/articles/first-aid-training-expands-to-mental-health-1536941759,1054810,288,text/html
https://www.wsj.com/articles/are-eggs-bad-for-you-two-scientists-square-off-1536866255,1054354,288,text/html
https://www.wsj.com/articles/what-consumers-should-know-about-commercial-dna-testing-1536952428,1055408,289,text/html
https://www.wsj.com/articles/pfizer-ceo-read-to-step-aside-at-years-end-1538390220,1031968,259,text/html
https://www.wsj.com/android-chrome-192x192.png,7996,4,image/png
https://www.wsj.com/articles/robots-head-for-the-fields-1538426976,1052652,288,text/html
https://www.wsj.com/news/types/journal-reports-conferences,640039,267,text/html
https://www.wsj.com/articles/the-secret-to-retaining-a-new-skill-learn-exercise-sleep-1537149660,1053551,288,text/html
https://www.wsj.com/articles/cancer-coaches-help-guide-patients-during-and-after-treatment-1537149901,1055362,288,text/html
https://www.wsj.com/news/author/7814,552023,272,text/html
https://www.wsj.com/articles/robots-head-for-the-fields-1538426976?tesla=y,1052666,289,text/html
https://www.wsj.com/articles/after-florence-smithfield-plans-fresh-look-at-disaster-prep-1538070269,1034396,259,text/html
https://www.wsj.com/articles/vending-machine-offers-new-twist-on-soft-serve-1536187897,1033361,259,text/html
https://www.wsj.com/articles/canada-must-decide-its-either-a-nafta-deal-or-a-smaller-economy-1535727952,1037025,261,text/html
https://www.wsj.com/video/senators-to-watch-on-brett-kavanaughs-confirmation-vote/2DA9AC46-A4D8-450B-8A56-B49BCB26F160.html?mod=trending_now_video_2,77499,97,text/html
https://www.wsj.com/articles/wsj-magazine-contributors-september-womens-2018-1535037343,1062404,266,text/html
https://www.wsj.com/news/types/private-properties,642390,267,text/html
https://www.wsj.com/articles/fbi-review-agents-of-the-moment-1537479114,1031359,258,text/html
https://www.wsj.com/articles/ai-tools-help-the-blind-tackle-everyday-tasks-1527559620,1054393,288,text/html
https://www.wsj.com/articles/like-father-review-dysfunctional-daddy-daughter-duo-1533233965,1030614,257,text/html
https://www.wsj.com/news/author/8676,603562,271,text/html
https://www.wsj.com/articles/130-000-andy-warhol-photos-once-unknown-debut-in-a-new-exhibition-in-california-1538057568,1066328,267,text/html
https://www.wsj.com/amp/articles/another-ultraluxury-mansion-heads-to-the-auction-block-1538406314,48454,28,text/html
https://www.wsj.com/articles/exploring-the-new-world-with-new-sounds-1524244245,1031160,257,text/html
https://www.wsj.com/articles/are-medicaid-work-requirements-a-good-idea-1529892000,1053211,288,text/html
https://www.wsj.com/articles/kavanaugh-fight-in-state-of-uncertainty-1538401675,1037312,264,text/html
https://www.wsj.com/articles/a-very-english-scandal-review-sex-intrigue-and-bunnies-1530225479,1032361,258,text/html
https://www.wsj.com/articles/instagram-by-the-numbers-1537976241,1062861,268,text/html
http://www.wsj.com/news/author/1345,414295,247,text/html
https://www.wsj.com/articles/encountering-jane-fonda-1537479248,1030672,258,text/html
https://www.wsj.com/articles/the-bachelorette-partys-over-venues-snub-bridezillas-and-their-entourages-1532704297,955986,35,text/html
https://www.wsj.com/articles/the-operating-room-of-the-future-1527559862,1057146,290,text/html
https://www.wsj.com/articles/new-york-towns-gearing-up-to-fight-irs-ruling-on-local-taxes-1538319601,1032866,257,text/html
https://www.wsj.com/articles/an-epic-of-human-scale-1532115935,1030074,257,text/html
https://www.wsj.com/articles/wsj-magazine-editors-letter-all-in-the-family-1535036574,1062239,266,text/html
https://www.wsj.com/articles/a-final-resting-place-both-beguiling-and-beautiful-1525463500,1031189,257,text/html
https://www.wsj.com/articles/bitcoins-10th-birthday-wont-be-a-happy-one-1538323201,1031549,260,text/html
https://www.wsj.com/articles/aby-rosen-creates-new-hotel-in-vibrant-tel-aviv-1534780012,1063031,266,text/html
https://www.wsj.com/articles/wearable-health-monitors-do-they-work-1537149961,1058935,292,text/html
http://www.wsj.com/public/page/archive-2018-7-16.html,177085,601,text/html
